"post_id","Page.Likes.at.Posting","Likes","Comments","Shares","Love","Wow","Haha","Sad","Angry","Thankful","Post.Views","Total.Views","language","plurality","unigrams_total","gna_unigrams","lna_unigrams","bigrams_total","gna_bigrams","lna_bigrams","post_date","page_id"
8460,137396,326,0,2,0,1,0,1,0,0,0,0,"arabic","Libya",51,0,0,20,0,0,2019-04-28,1478
8461,NA,292,4,2,1,0,0,0,0,0,0,0,"arabic","Libya",18,0,0,14,0,0,2019-04-12,1253
8462,NA,440,18,2,3,1,1,0,0,0,0,0,"arabic","Libya",12,0,0,5,0,0,2019-04-12,1313
8463,NA,162,18,2,5,0,0,0,0,0,0,0,"arabic","Libya",25,0,0,9,0,0,2019-04-11,148
8464,186782,232,3,2,0,0,0,0,0,0,0,0,"arabic","Libya",19,0,0,8,0,0,2019-04-15,1190
8465,NA,213,26,2,8,0,1,0,0,0,0,0,"arabic","Libya",19,0,0,4,0,0,2019-04-15,1227
8466,422207,455,33,2,3,2,4,0,0,0,0,0,"arabic","Libya",21,0,0,12,0,0,2019-04-26,1381
8467,230775,122,9,2,4,0,0,0,0,0,0,0,"arabic","Egypt",66,0,0,38,0,0,2019-04-26,574
8468,NA,592,122,2,21,4,35,1,4,0,0,0,"arabic","Libya",3,0,0,1,0,0,2019-04-26,1229
8469,139135,116,27,2,1,0,20,0,0,0,0,0,"arabic","Libya",21,0,0,14,0,0,2019-04-26,1335
8470,NA,160,28,2,1,0,7,0,2,0,0,0,"arabic","Libya",28,0,1,12,0,0,2019-04-26,1227
8471,145914,404,41,2,0,2,2,3,0,0,0,0,"arabic","Libya",111,2,4,41,0,0,2019-04-26,1253
8472,128326,725,30,2,4,1,4,0,0,0,0,0,"arabic","Libya",12,0,0,3,0,0,2019-04-14,1478
8473,2715672,511,0,2,5,0,0,0,0,0,0,0,"arabic","Jordan",9,0,0,6,0,0,2019-04-14,4
8474,1061548,331,7,2,5,2,0,2,0,0,0,0,"arabic","Tunisia",11,0,0,6,0,0,2019-04-14,1337
8475,128326,373,5,2,2,1,0,0,7,0,0,0,"arabic","Libya",8,0,0,6,0,0,2019-04-14,1478
8476,1273321,153,5,2,2,0,4,1,0,0,0,0,"arabic","Jordan",33,0,0,21,0,0,2019-04-14,389
8477,217731,179,5,2,1,0,1,0,0,0,0,0,"arabic","Qatar",23,0,0,9,0,0,2019-04-14,862
8478,NA,14,0,2,0,0,0,0,0,0,0,0,"arabic","Libya",28,0,0,13,0,0,2019-04-14,1130
8479,NA,172,1,2,2,0,0,0,0,0,0,0,"arabic","Libya",1,0,0,1,0,0,2019-04-30,1271
8480,NA,135,10,2,1,1,2,0,0,0,0,0,"arabic","Libya",14,0,0,6,0,0,2019-04-30,1227
8481,129156,506,41,2,2,1,3,3,12,0,0,0,"arabic","Libya",9,0,0,5,0,0,2019-04-30,801
8482,NA,184,3,2,0,0,1,3,2,0,0,0,"arabic","Libya",11,1,0,6,0,0,2019-04-30,207
8483,153998,77,4,2,0,1,1,1,0,0,0,0,"arabic","Libya",111,0,2,47,0,0,2019-04-13,1156
8484,NA,185,4,2,0,0,0,2,0,0,0,0,"arabic","Libya",8,0,0,1,0,0,2019-04-13,787
8485,40624,457,11,2,1,1,3,0,1,0,0,0,"arabic","Libya",15,0,0,8,0,0,2019-04-13,950
